Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,0,1,1,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 1,2
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,2,2,20,20,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 2,1
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,2,20,15,1,FOREST HEIGHTS,837500.0,30,53.55056740256592,-113.4548124,Bonnie Doon Stake 2,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,3,144,25,2,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 3,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,1,0,230,21,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 4,1
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,0,75,7,1,FOREST HEIGHTS,837500.0,30,53.55056740256592,-113.4548124,Bonnie Doon Stake 3,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,280,32,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 5,1
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,3,21,23,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 4,2
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,3,3,45,15,1,WOODBEND,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 2,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,4,172,18,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 3,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,0,135,26,1,BLACKMUD CREEK,503500.0,30,53.42374423,-113.5051636,Gateway Stake 6,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,4,0,30,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 5,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,18,18,1,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 6,2
